Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,RJML,SSBL,CJPL
Edwin Rios,2024,L,CIN,30,-0.0867,5,10,621458,2024,9,1,0,0,0,4,1,40.0,10.0,0.111,0.111,0.2,0.311,0.2,0,0,0,14,7,0,0,0,0,0,1,26,0.179,0.226,0.157,0.226,0.261,0.0,0.0,40.0,40,47.4,5,0.252,0.9,3,40.0,19.0,0.0,0.0,2.0,30.0,0.55,18316,0.0161,-1.1884,0.14,-11.0847,"Rios, Edwin",3.0,Edwin Rios*,avail,avail,avail
Miguel Sano,2024,R,LAA,31,-0.0891,28,95,593934,2024,83,17,3,0,2,36,9,37.9,9.5,0.205,0.313,0.295,0.608,0.326,6,0,0,144,59,2,2,0,0,1,9,244,0.24,0.379,0.275,0.311,0.326,10.4,4.2,37.5,402,38.4,48,8.041,3.1,48,52.1,154.0,5.0,2.0,18.0,28.4,0.483,12164,-0.7605,-3.2684,-0.5691,75.1665,"Sanó, Miguel",53.0,Miguel Sano,avail,rook,rook
Hunter Renfroe,2024,R,KCR,32,-0.0915,120,424,592669,2024,385,88,18,0,15,84,36,19.8,8.5,0.229,0.392,0.297,0.689,0.254,52,1,1,560,321,10,2,0,0,1,44,1055,0.225,0.368,0.302,0.292,0.294,6.6,6.3,22.2,1652,23.4,302,43.917,3.8,260,35.1,387.0,20.0,19.0,67.0,11.3,0.51,15464,-7.4005,-7.6178,-3.6334,91.7869,"Renfroe, Hunter",9.0,Hunter Renfroe,DV,avail,GAP
Blaze Alexander,2024,R,ARI,25,-0.093,61,185,677942,2024,166,41,7,0,3,49,15,26.5,8.1,0.247,0.343,0.321,0.664,0.333,21,1,3,237,88,1,3,0,1,0,19,456,0.204,0.289,0.298,0.26,0.282,3.4,5.9,22.9,714,29.1,118,19.645,4.1,114,32.2,208.0,4.0,7.0,27.0,18.4,0.532,23789,-4.5383,-2.5224,0.0578,88.3372,"Alexander, Blaze",645.0,Blaze Alexander,avail,rook,rook
Luis Vazquez,2024,R,CHC,24,-0.0938,11,14,676679,2024,12,1,0,0,0,6,0,42.9,0.0,0.083,0.083,0.143,0.226,0.143,1,0,0,12,7,1,1,0,0,1,2,38,0.107,0.119,0.114,0.168,0.188,0.0,0.0,28.6,51,48.4,7,0.127,0.3,4,28.6,25.0,0.0,0.0,2.0,42.9,0.667,23442,0.8304,-2.2052,-0.0158,-30.7792,"Vazquez, Luis",65.0,Luis Vazquez,avail,rook,rook
Jonah Heim,2024,B,TEX,29,-0.1001,131,491,641680,2024,459,101,12,1,13,90,26,18.3,5.3,0.22,0.336,0.267,0.603,0.246,59,1,1,559,220,13,4,0,0,2,45,1187,0.229,0.358,0.265,0.277,0.276,5.9,5.9,24.0,1781,20.7,371,38.927,2.8,262,35.8,369.0,22.0,22.0,89.0,13.0,0.517,16930,2.1801,-19.5151,-2.8617,70.3556,"Heim, Jonah",2.0,Jonah Heim#,STE,SIP,GAP
Aramis Garcia,2024,R,PHI,31,-0.1042,3,7,605244,2024,7,0,0,0,0,3,0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12,4,1,0,0,0,0,0,23,0.071,0.115,0.0,0.08,0.071,0.0,0.0,0.0,36,31.6,4,-0.0,-0.0,-1,0.0,11.0,0.0,0.0,0.0,42.9,0.639,16925,0.5236,-1.7656,0.0,-100.0,"Garcia, Aramis",2.0,Aramis Garcia,avail,rook,rook
Brian Anderson,2024,R,ATL,31,-0.1076,3,5,605119,2024,5,0,0,0,0,2,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,6,1,0,0,0,0,0,13,0.391,0.723,0.0,0.472,0.391,33.3,0.0,33.3,15,28.6,3,-0.0,-0.0,-1,66.6,4.0,1.0,0.0,1.0,40.0,0.6,18289,0.0565,-1.2648,0.0,-100.0,"Anderson, Brian",9.0,Brian Anderson,avail,avail,OBS
Alex Jackson,2024,R,TBR,28,-0.1115,58,155,656577,2024,139,17,7,0,3,53,12,34.2,7.7,0.122,0.237,0.201,0.438,0.167,12,0,1,195,87,2,2,0,1,1,17,417,0.141,0.27,0.2,0.224,0.221,9.1,1.1,12.5,626,39.7,88,7.147,1.5,73,22.7,249.0,8.0,1.0,11.0,26.500000000000004,0.602,17276,5.8169,-12.0634,0.6033,28.575,"Jackson, Alex",2.0,Alex Jackson,avail,rook,rook
Nick Maton,2024,L,BAL,27,-0.1117,5,5,665155,2024,5,0,0,0,0,2,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,3,0,0,0,0,0,0,15,0.094,0.163,0.0,0.107,0.094,0.0,0.0,33.3,28,33.3,3,0.0,0.0,0,33.3,9.0,0.0,0.0,1.0,40.0,0.464,21635,-0.0261,-1.2219,0.0,-100.0,"Maton, Nick",5.0,Nick Maton*,avail,avail,avail
Sandro Fabian,2024,R,TEX,26,-0.1127,3,5,660758,2024,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,2,0,0,0,0,0,0,15,0.15,0.344,0.0,0.209,0.15,20.0,0.0,0.0,21,7.7,5,0.0,0.0,0,20.0,2.0,1.0,0.0,0.0,0.0,0.619,19910,-0.0213,-1.2368,0.0,-100.0,"Fabian, Sandro",7.0,Sandro Fabian,avail,rook,rook
Tyler Gentry,2024,R,KCR,25,-0.1154,3,5,694355,2024,5,0,0,0,0,2,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,3,0,0,0,0,0,0,13,0.084,0.1,0.0,0.082,0.084,0.0,0.0,0.0,20,30.0,3,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,40.0,0.65,27784,-0.0216,-1.2625,0.0,-100.0,"Gentry, Tyler",9.0,Tyler Gentry,avail,rook,rook
Brett Sullivan,2024,L,SDP,30,-0.1155,7,17,664954,2024,16,3,0,0,1,4,1,23.5,5.9,0.188,0.375,0.235,0.61,0.182,2,0,0,12,5,0,0,0,0,0,1,37,0.125,0.215,0.265,0.176,0.176,8.3,0.0,8.3,49,18.8,12,1.473,3.1,9,16.6,9.0,1.0,0.0,1.0,17.6,0.674,18217,-1.0266,-0.6579,-0.0803,71.5872,"Sullivan, Brett",2.0,Brett Sullivan*,avail,avail,avail
