,Name,Pos,Age,PA,R,RBI,2B,HR,SB,CS,bb%,k%,RC27,OPS,XWOBA,O,Def,BsR,WAR,wRC+,RJML,SSBL,CJPL,key_FG,avgL,obpL,slgL,opsL,avgR,obpR,slgR,opsR
520,Travis Jankowski*,978,33,207,19,12,5,1,11,1,5.8,21.3,2.4,0.508,0.242,100,0.7462,1.6333,-0.3062,48.3004,RAC,avail,GDJ,13768,0.0,0.0,0.0,0.0,0.215,0.284,0.26,0.544
521,Alex Kirilloff*,739,26,178,20,20,8,5,0,0,8.4,26.4,3.2,0.654,0.311,107,-5.553,0.1265,-0.307,82.9167,TB,TT,MMA,20325,0.167,0.25,0.167,0.417,0.203,0.271,0.392,0.663
522,Graham Pauley*,5,23,32,4,5,0,2,0,0,0.0,46.9,0.9,0.438,0.215,16,-1.0366,0.1851,-0.3073,16.6491,avail,rook,rook,31363,0.0,0.0,0.0,0.0,0.133,0.133,0.333,0.466
523,Alika Williams,46,25,96,13,5,4,0,1,0,3.1,22.9,2.5,0.541,0.254,54,0.4698,-0.5411,-0.3106,46.581,avail,avail,avail,27604,0.25,0.333,0.542,0.875,0.19,0.203,0.206,0.409
524,Joey Wiemer,78,25,28,2,0,0,0,1,1,7.1,32.1,1.1,0.368,0.252,8,-0.9231,0.0014,-0.3206,6.9804,ROC,WC,HAM,27690,0.235,0.278,0.235,0.513,0.0,0.1,0.0,0.1
525,Daniel Vogelbach*,0,31,79,5,8,5,1,0,0,11.4,21.5,2.4,0.578,0.357,38,-2.3765,-0.6177,-0.3228,69.4151,ROC,SB,avail,14130,0.0,0.0,0.0,0.0,0.191,0.286,0.309,0.595
526,Andrew Benintendi*,7,29,522,50,64,20,20,3,2,7.9,18.4,3.7,0.685,0.308,314,-14.4256,-1.8723,-0.3287,92.8263,GH,CB,MBL,17901,0.207,0.27,0.336,0.606,0.235,0.295,0.416,0.711
527,Vidal Brujan#,645897,26,278,32,16,14,2,5,6,9.0,19.4,3.1,0.622,0.262,149,-2.3748,-1.0072,-0.337,72.515,RM,avail,LWC,20536,0.197,0.31,0.295,0.605,0.23,0.301,0.326,0.627
528,Tyler Wade*,564798,29,156,28,8,3,0,8,1,7.1,18.6,2.8,0.524,0.283,93,-2.0103,1.6676,-0.3383,56.4344,avail,avail,avail,15730,0.105,0.15,0.105,0.255,0.235,0.305,0.261,0.566
529,Cole Tucker#,57,27,57,3,3,4,0,3,1,10.5,29.8,2.9,0.563,0.256,29,-3.3148,0.8113,-0.3445,58.1098,avail,avail,avail,17326,0.05,0.136,0.05,0.186,0.267,0.343,0.467,0.81
530,Ryan Vilade,978,25,49,5,5,0,1,0,0,4.1,24.5,1.4,0.452,0.247,21,-0.7336,-0.0723,-0.345,25.659,avail,rook,rook,22165,0.25,0.273,0.4,0.673,0.12,0.154,0.12,0.274
531,Shay Whitcomb,54,25,46,1,5,3,0,0,0,10.9,17.4,3.1,0.597,0.343,22,-3.4553,-0.1845,-0.3455,76.4697,avail,rook,rook,27789,0.083,0.214,0.083,0.297,0.276,0.344,0.379,0.723
532,Jeimer Candelario#,53,30,463,47,56,23,20,4,3,5.8,24.6,3.9,0.708,0.284,293,-11.0951,-0.8021,-0.3525,87.4803,TB,PP,FMB,13621,0.215,0.306,0.346,0.652,0.229,0.266,0.465,0.731
533,Jacob Amaya,6,25,72,4,3,1,0,1,0,5.6,38.9,1.2,0.413,0.205,22,0.7331,0.2212,-0.3577,17.4479,HAR,avail,avail,23296,0.192,0.3,0.192,0.492,0.167,0.167,0.19,0.357
534,Garrett Cooper,3,33,116,6,11,5,1,0,0,6.0,30.2,2.5,0.566,0.326,54,-1.5688,-0.3107,-0.3707,57.6887,RAM,SSF,GAP,15279,0.244,0.279,0.366,0.645,0.182,0.26,0.258,0.518
535,Michael Stefanic,45,28,124,8,8,4,0,0,0,8.1,16.1,2.4,0.556,0.253,53,-2.1282,-0.406,-0.3722,63.3267,GRF,avail,avail,25353,0.302,0.318,0.349,0.667,0.164,0.291,0.194,0.485
536,Grae Kessinger,546,26,25,4,0,0,0,0,0,12.0,28.0,0.2,0.16,0.218,7,-0.3585,-0.209,-0.375,-36.2384,DAY,avail,avail,25813,0.0,0.167,0.0,0.167,0.0,0.158,0.0,0.158
537,Miles Mastrobuoni*,5647,28,106,9,4,3,0,2,0,6.6,16.0,2.0,0.469,0.303,43,-0.0131,0.8664,-0.3812,36.3097,avail,avail,avail,20017,0.188,0.188,0.188,0.376,0.195,0.256,0.232,0.488
538,Korey Lee,2,25,394,36,37,14,12,6,3,4.3,31.0,2.5,0.591,0.259,200,-1.3923,0.6859,-0.3856,64.1524,RAM,avail,WAW,25543,0.204,0.25,0.316,0.566,0.211,0.241,0.358,0.599
539,Mitch Garver,2,33,430,37,51,17,15,0,0,12.3,30.9,3.2,0.627,0.287,249,-10.2259,-2.0068,-0.39,88.0562,GRF,TT,FMB,15161,0.218,0.327,0.436,0.763,0.145,0.263,0.286,0.549
540,Adael Amador#,4,21,36,1,0,1,0,1,0,2.8,16.7,1.2,0.394,0.257,9,0.2306,-0.7978,-0.4002,-4.6819,avail,rook,rook,27962,0.2,0.2,0.2,0.4,0.167,0.194,0.2,0.394
541,Drew Romo#,2,22,53,4,6,3,0,0,1,3.8,34.0,1.1,0.443,0.171,21,0.5407,-0.4534,-0.4042,9.0347,avail,rook,rook,27763,0.176,0.222,0.176,0.398,0.176,0.2,0.265,0.465
542,Matt Mervis*,0,26,28,1,3,1,0,0,0,3.6,28.6,0.7,0.302,0.162,9,-0.8671,-0.1814,-0.411,-15.3834,HAL,avail,JFS,27845,0.0,0.5,0.0,0.5,0.12,0.12,0.16,0.28
543,Curt Casali,2,35,125,12,8,3,1,0,0,10.4,17.6,2.5,0.543,0.269,60,-2.2759,-0.2428,-0.4113,62.3621,avail,avail,avail,12510,0.19,0.306,0.238,0.544,0.197,0.284,0.258,0.542
544,J.D. Davis,35,31,157,13,6,5,4,0,0,7.6,24.8,3.2,0.631,0.284,73,-5.9007,-0.8454,-0.422,85.6768,CAM,SSF,RAH,16219,0.204,0.291,0.347,0.638,0.226,0.294,0.333,0.627
545,Zack Short,564,29,88,11,5,3,0,2,1,15.9,27.3,2.0,0.453,0.28,47,-1.2626,0.1427,-0.4318,44.0587,BRA,avail,avail,19562,0.095,0.24,0.095,0.335,0.143,0.3,0.204,0.504
546,Jace Peterson*,645,34,26,2,1,0,0,0,0,11.5,23.1,0.3,0.199,0.25,6,-0.7976,-0.0389,-0.4325,-35.6288,HAL,avail,GAP,12325,0.0,0.0,0.0,0.0,0.05,0.167,0.05,0.217
547,Tyler Nevin,3597,27,278,22,20,10,7,1,0,9.0,23.0,3.3,0.619,0.297,142,-7.1533,-0.6297,-0.4339,82.13,CC,avail,avail,17893,0.202,0.299,0.394,0.693,0.206,0.278,0.279,0.557
548,Bryan Ramos,5,22,108,13,11,4,3,0,2,6.5,20.4,2.3,0.585,0.287,56,-2.726,-0.6209,-0.4365,63.7526,avail,rook,rook,25621,0.184,0.22,0.289,0.509,0.213,0.273,0.361,0.634
549,Tucker Barnhart*,2,33,96,13,6,3,0,1,0,13.5,32.3,2.4,0.497,0.241,52,-1.651,0.095,-0.4404,48.5652,avail,avail,avail,10200,0.1,0.156,0.133,0.289,0.216,0.355,0.255,0.61
550,Daz Cameron,798,27,186,22,15,5,5,5,0,7.0,27.4,2.9,0.587,0.287,104,-4.5304,0.5455,-0.4406,69.5457,avail,rook,rook,18353,0.253,0.337,0.48,0.817,0.158,0.19,0.211,0.401
551,Pedro Leon,9,26,21,2,0,0,0,2,0,4.8,47.6,0.2,0.243,0.182,5,-1.4849,-0.4917,-0.4607,-32.5206,avail,rook,rook,27781,0.111,0.2,0.111,0.311,0.091,0.091,0.091,0.182
552,Luis Campusano,2,25,299,37,40,13,8,0,0,6.7,13.7,3.1,0.642,0.29,179,-7.8,-0.5377,-0.462,82.9642,TB,HOB,GDJ,22217,0.143,0.2,0.3,0.5,0.256,0.308,0.382,0.69
553,Victor Scott*,89,23,155,14,10,9,2,5,1,3.9,27.1,2.2,0.502,0.25,75,0.6753,0.8745,-0.4633,39.5941,avail,rook,rook,31349,0.2,0.238,0.275,0.513,0.171,0.212,0.286,0.498
554,Rowdy Tellez*,3,29,421,38,56,18,13,1,0,7.4,21.1,3.9,0.691,0.302,253,-10.9701,-2.3526,-0.4678,89.6236,avail,CB,MMA,15679,0.2,0.304,0.375,0.679,0.248,0.299,0.394,0.693
555,Ignacio Alvarez,45,21,32,1,0,0,0,0,0,0.0,31.3,0.4,0.256,0.197,5,-0.7572,-0.0406,-0.4688,-25.604,avail,rook,rook,31765,0.125,0.222,0.125,0.347,0.091,0.13,0.091,0.221
556,Justyn-Henry Malloy,7,24,230,18,21,7,8,1,1,10.0,37.0,3.7,0.657,0.269,129,-8.6991,-0.7575,-0.4745,89.3436,avail,rook,rook,29606,0.25,0.393,0.5,0.893,0.188,0.254,0.325,0.579
557,Darell Hernaiz,564,22,135,8,12,3,1,1,1,8.1,20.0,2.0,0.503,0.274,57,-0.6681,-0.7292,-0.4806,49.7864,avail,rook,rook,26224,0.279,0.327,0.326,0.653,0.143,0.224,0.195,0.419
558,Travis Blankenhorn*,9,27,32,2,5,1,0,0,0,3.1,28.1,0.8,0.317,0.199,13,-1.3593,-0.0217,-0.481,-13.4588,avail,avail,avail,18395,0.5,0.5,0.5,1.0,0.103,0.133,0.138,0.271
559,Nelson Velazquez,97,25,230,31,27,8,8,2,0,8.3,26.5,3.2,0.64,0.307,143,-6.6425,0.4899,-0.4852,76.3933,ALA,WC,SEA,23359,0.25,0.343,0.383,0.726,0.179,0.244,0.359,0.603
560,Tom Murphy,2,33,38,3,2,1,1,0,0,10.5,36.8,1.7,0.446,0.248,16,-2.8065,0.0095,-0.4857,30.2087,CC,CW,LWC,13499,0.071,0.188,0.071,0.259,0.15,0.227,0.35,0.577
561,Kyren Paris,46,22,59,4,5,2,1,1,0,11.9,28.8,1.6,0.44,0.265,26,-2.0007,0.188,-0.4869,27.884,DV,avail,avail,26420,0.08,0.115,0.12,0.235,0.154,0.312,0.308,0.62
562,Nick Martini*,97,34,163,23,24,4,5,1,3,5.5,23.3,3.2,0.642,0.278,106,-3.6714,-0.9182,-0.5008,70.8252,ROC,avail,avail,12005,0.182,0.206,0.364,0.57,0.221,0.289,0.372,0.661
563,DJ LeMahieu,53,35,228,19,26,5,2,0,1,8.3,15.4,1.9,0.528,0.302,102,2.3562,-2.1912,-0.5015,51.621,WHI,SLB,OBS,9874,0.164,0.235,0.205,0.44,0.227,0.289,0.289,0.578
564,Aaron Hicks#,987,34,63,6,5,0,1,0,0,9.5,36.5,1.4,0.415,0.245,26,-1.4894,0.1619,-0.5159,19.978,CC,ECB,RAH,5297,0.188,0.235,0.375,0.61,0.122,0.217,0.122,0.339
